,Tot_Spndng_2017,Tot_Spndng_2018,Tot_Spndng_2019,Tot_Spndng_2020,Tot_Spndng_2021
14886,40809928.389999844,57928366.739999905,73293320.67000015,84399576.80000028,86804416.99000101
14887,21558685.929999843,30095174.089999903,37778034.590000145,43460283.95500029,45007801.970001005
14888,2307443.4699998423,2261981.4399999008,2262748.510000147,2520991.11000029,3211186.950001009
14889,1172882.094999842,1140919.7449999007,1141601.860000147,1273852.85000029,1633295.5750010088
14890,24218.844999842113,15111.724999900674,15075.030000147177,18173.46000029007,41276.735001008725
14891,17674.774999842113,8051.549999900673,6784.070000147178,5221.00500029007,14389.180001008725
14892,12616.289999842113,2868.8499999006735,1936.6450001471776,514.09500029007,1666.7350010087248
14893,1485.5849998421108,1877.474999900673,3443.5350001471775,8136.29000029007,13312.920001008724
14894,1306278.514999842,880047.2699999007,836988.6800001472,704272.10500029,577788.6000010088
14895,1712230.844999842,1068298.1999999005,1228271.6050001474,1027818.7550002899,705570.9550010088
14896,407437.9149998422,190128.4049999005,394726.46000014734,332112.45500028995,142129.10000100883
14897,444015.1099998422,255220.3849999005,234712.94000014727,197264.44000029,244985.43000100888
14898,445672.1999998422,256122.4449999005,236066.37000014726,198442.13500029,245166.00000100886
14899,95730.8099998422,131445.2849999005,129242.50000014727,110756.97500029,76318.31500100883
14900,163283.1099998422,207716.6699999005,179752.79500014728,161779.10500029,175865.76500100884
14901,357609.09499984223,301375.71999990055,74863.24500014726,56649.970000290006,103781.04000100885
14902,1186879.7699998424,996209.2999999004,772130.7300001472,579824.9400002899,685450.5850010088
14903,898480.0649998423,772007.0249999004,749131.2100001472,575913.5650002899,685034.6650010088
14904,428490.20499984245,282554.96999990044,397750.7400001474,286525.89500029,308620.77000100876
14905,428490.20499984245,282554.96999990044,397750.7400001474,296277.51500029,463099.7250010088
14906,33503.804999842425,43238.239999900456,46032.680000147375,55122.61500028998,183525.14500100876
14907,469989.8599998424,489452.05499990046,351380.47000014735,279636.05000029,218432.7700010088
14908,436486.0549998424,446213.81499990047,305347.79000014736,234265.05500028998,196036.64000100878
14909,0.0,0.0,1.4738179743289948e-07,2.899905666708946e-07,9797.95000100878
14910,0.0,74.9649999004649,117.9850001473818,79.39500028999056,4968.990001008779
14911,0.0,149.9299999004649,235.9700001473818,158.79000028999056,140.03000100877853
14912,0.0,109.26999990046491,186.22000014738177,163.38500028999056,150.27000100877854
14913,0.0,68.60999990046491,136.47000014738177,167.98000028999058,160.51000100877854
14914,8378.429999842432,9753.579999900465,12885.560000147381,16824.220000289988,10641.83000100878
14915,16756.859999842432,19438.549999900464,25634.650000147383,33480.46000028999,21123.15000100878
14916,44476.134999842434,45913.50999990047,45977.37000014738,51758.17000028999,30176.630001008783
14917,72195.40999984244,72388.46999990047,66320.09000014738,70035.88000029,39230.11000100878
14918,1646346.1549998424,3109539.3049999005,4574940.135000147,6039839.55000029,3150652.8550010086
14919,3220496.899999842,6146690.1399999,9083560.180000147,12009643.220000291,6262075.600001009
14920,1610248.449999842,3073392.7249999004,4541861.920000147,6004998.335000291,3131181.2200010093
14921,0.0,95.30999990040436,163.66000014729798,353.4500002898276,286.84000100940466
14922,0.0,47.65499990040436,81.83000014729798,176.7250002898276,234.33000100940464
14923,0.0,0.0,1.4729798181178921e-07,2.898275965890207e-07,181.82000100940465
14924,180.31999984214082,796.7249999004043,1236.410000147298,1841.9800002898276,1995.1700010094044
14925,360.6399998421408,1593.4499999004042,2472.820000147298,3683.960000289828,3808.5200010094045
14926,180.31999984214082,1097.0849999004045,1930.1800001472977,2419.6450002898277,2247.3850010094047
14927,0.0,600.7199999004046,1387.5400001472979,1155.3300002898277,686.2500010094047
14928,21146.309999842142,26375.229999900403,28451.875000147298,45519.45000028983,22857.275001009406
14929,42292.61999984214,52149.7399999004,55516.2100001473,89883.57000028984,45028.30000100941
14930,73766.18499984214,101833.8199999004,106067.5600001473,129606.47000028982,69512.9300010094
14931,105239.74999984214,151517.8999999004,156618.9100001473,169329.3700002898,93997.5600010094
14932,104730.59499984214,145743.5399999004,149085.9750001473,178944.14500028983,96551.9600010094
14933,104221.43999984214,139969.1799999004,141553.0400001473,188558.92000028986,99106.3600010094
14934,64028.994999842136,85067.94999990039,90006.94500014729,114292.50000028986,62621.23500100939
14935,23836.54999984213,30166.719999900393,38460.850000147286,40026.08000028985,26136.110001009387
14936,11918.27499984213,15176.024999900394,23301.345000147285,25239.145000289842,20874.990001009384
14937,0.0,185.3299999003939,8141.840000147287,10452.21000028984,15613.870001009385
14938,61849.809999842124,124735.0849999004,228596.9000001473,375474.97500028985,206060.24000100937
14939,123699.61999984212,249284.8399999004,449051.9600001473,740497.7400002899,396506.61000100937
14940,66595.34499984213,174472.6799999004,382942.4050001473,558949.1950002898,346837.3900010094
14941,9491.069999842133,99660.51999990041,316832.85000014724,377400.6500002899,297168.1700010094
14942,7983.409999842133,56900.189999900416,166471.30000014725,193346.36500028986,150654.02000100943
14943,6475.749999842134,14139.859999900415,16109.750000147265,9292.080000289861,4139.870001009433
14944,732185.3499998421,3687092.0199999,8542025.655000146,10260165.70500029,12421890.680001007
14945,1457894.949999842,7360044.1799999,17067941.560000144,19037210.30500029,13224357.660001008
14946,728947.4749998421,3680022.0899999,8533970.780000145,10255519.66500029,12419820.745001009
14947,48198104.404999845,98145045.9399999,178555875.31500015,302787333.7150003,604655006.280001
14948,96396208.80999985,196290091.87999988,357111750.6300001,602627009.3800002,1186079444.900001
14949,48204790.79999985,98161894.08499989,178559579.8850001,301316228.7300002,593046290.6650009
14950,13372.789999850094,33696.28999988735,7409.140000104904,5448.080000221729,13136.430000901222
14951,296136433.14499986,234540523.65999988,236329491.68500012,167287729.87500024,64005170.4100009
14952,592259493.4999999,469047351.02999985,472651574.23000014,334570011.67000026,127997204.3900009
14953,296129746.7499999,234523675.51499987,236598155.7050001,179042267.47500023,81986334.41000089
14954,0.0,0.0,544737.1800000966,23514523.28000024,35975464.430000894
14955,0.0,0.0,272368.59000009653,11757364.58500024,17987865.69500089
14956,0.0,0.0,9.650830179452896e-08,205.89000023901463,266.96000089123845
14957,4089.4549998807906,8798.17499988079,4815.365000096508,1692.0350002390146,835.1850008912385
14958,8178.909999880791,17596.34999988079,9630.730000096508,3178.180000239014,1403.4100008912385
14959,16870213.344999883,9461500.84499988,7709515.425000096,6304827.495000239,4436167.4900008915
14960,16866123.889999885,9452702.669999879,7989008.120000095,7045872.86500024,4851974.045000891
14961,16866123.88999988,9452702.669999877,7704700.060000095,6303238.405000241,4435465.7850008905
14962,16866123.88999988,9452702.669999877,7420392.000000095,12655182.81500024,26451945.34500089
14963,0.0,0.0,9.499490261077881e-08,14189157.74000024,44865975.64000089
14964,0.0,55875.044999877064,270896.210000095,7409500.350000241,22557914.54500089
14965,0.0,111750.08999987706,541792.420000095,629842.9600002402,249853.4500008896
14966,0.0,55875.044999877064,404434.695000095,1248752.7500002403,1857657.9900008894
14967,0.0,0.0,267076.9700000949,1867662.5400002403,3465462.530000889
14968,0.0,0.0,133538.48500009492,935045.7350002404,2454420.8350008894
14969,0.0,0.0,9.493669494986534e-08,2428.9300002403324,1443379.1400008893
14970,0.0,0.0,9.493669494986534e-08,1214.4650002403325,724370.2000008893
14971,0.0,0.0,9.493669494986534e-08,2.4033261070144363e-07,5361.260000889306
14972,78758.38999988079,68072.74499987706,64219.03500009494,49524.30500024033,49717.75500088931
14973,157516.7799998808,136145.48999987706,128438.07000009494,99048.61000024033,94074.2500008893
14974,78758.38999988079,84944.62499987707,81967.24000009496,75060.97000024034,73922.74500088929
14975,0.0,33743.759999877075,35496.410000094955,51073.33000024035,53771.24000088929
14976,1076103.2749998807,655791.489999877,487833.4250000949,201041.66000024034,101945.2050008893
14977,2132595.989999881,1158712.2599998773,748498.845000095,327427.6600002404,141307.0750008893
14978,1076103.2749998812,638919.6099998773,470085.22000009497,175504.9950002404,75059.5850008893
14979,4844914.379999882,4691160.934999877,5046632.8550000945,3370970.7450002404,497069.2750008893
14980,9650607.639999881,9144067.949999876,9709922.520000095,6694776.83000024,976514.3600008893
14981,4949662.994999882,6238941.839999877,8820785.595000094,8349412.90000024,5427418.55500089
14982,248718.34999988135,3333815.7299998775,7931648.670000093,10004048.970000241,9878322.75000089
14983,124359.17499988135,1666907.8649998775,3965824.335000093,5002024.485000241,4941950.775000891
14984,0.0,0.0,9.313225746154785e-08,2.4028122425079346e-07,5578.800000891089
14985,59856065.10499988,52039210.01499988,53686174.4300001,55523376.07000024,60579442.18500089
14986,119712130.20999987,104078420.02999988,107372348.8600001,111046752.14000024,121153305.57000089
14987,59916214.28999988,52127565.114999875,53757340.02000011,55622337.215000235,60667105.2000009
14988,120298.36999988556,176710.19999987632,142331.18000011146,197922.29000023752,180904.83000089973
